college_code,college_name_canonical,canonical_from_year,n_variants,other_variants,years_present
VVGV,VKR VNB AND AGK ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
VVIP,VALLABHANENI VENKATADRI INST OF PHARM SCIENCES,2024,1,,"2022,2024"
VVIT,VASIREDDY VENKATADRI INST. OF TECHNOLOGY,2024,1,,"2022,2023,2024"
VVITPU,V V I T - UNIVERSITY,2025,1,,2025
VVITU,VASIREDDY VENKATADRI INST. OF TECHNOLOGY,2025,1,,2025
WISE,WEST GODAVARI INSTT OF SCIENCE AND ENGINEERING,2025,1,,"2022,2023,2024,2025"
WSTM,WELLFARE INST OF SCIENCE TECH AND MGMT,2025,1,,"2022,2023,2024,2025"
XAVP,ST XAVIER INST OF PHARMACY,2022,1,,2022
YGVU,YGVU YSR ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
YSRA,DR.YSR ARCHITECTURE AND FINE ARTS UNIVERSITY,2025,1,,"2022,2023,2024,2025"
