college_code,college_name_canonical,canonical_from_year,n_variants,other_variants,years_present
KIEW,KAKINADA INST OF ENGG AND TECHNOLOGY FOR WOMEN,2025,1,,"2022,2023,2024,2025"
KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,2025,1,,"2022,2023,2024,2025"
KITG,KITS AKSHAR INSTITUTE OF TECHNOLOGY,2025,1,,"2024,2025"
KITS,KKR AND KSR INST OF TECHNOLOGY AND SCI,2025,1,,"2022,2023,2024,2025"
KLMW,KANDULA LAKSHUMMA MEMORIAL COLLEGE OF ENGG FOR WOMEN,2025,2,K.LAKSHUMMA MEMORIAL COLLEGE OF ENGG FOR WOMEN,"2022,2023,2024,2025"
KMMT,KMM INST OF TECHNOLOGY AND SCIENCE,2025,1,,"2022,2023,2024,2025"
KORM,KANDULA OBUL REDDY MEMORIAL COLL. OF ENGG.,2025,1,,"2022,2023,2024,2025"
KRUESF,KRISHNA UNIVERSITY COLLEGE OF ENGG AND TECHNOLOGY-SELF FINAN,2025,2,KRISHNA UNIVERSITY COLLEGE OF ENGG AND TECHNOLOGY-SLEF FINAN,"2022,2023,2024,2025"
KSRM,K S R M COLLEGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
KTPT,KRISHNA TEJA PHARMACY COLLEGE,2023,1,,2023
KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,2025,1,,"2022,2023,2024,2025"
KUCPSF,KRU COLLEGE OF PHARMACEUTICAL SCIS& RESEARCH-SELF FINANCE,2022,1,,2022
KUPM,KUPPAM ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
KVSP,DR.K V SUBBA REDDY INST OF PHARMACY,2024,1,,"2023,2024"
KVSR,DR.K.V.SUBBA REDDY INST. OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
LBCE,LAKIREDDY BALIREDDY COLLEGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
LENO,LENORA COLLEGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
LIET,LENDI INST OF ENGG AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
LIMT,LINGAYAS INST OF MGMT AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
LOYL,LOYOLA INSTITUTE OF TECHNOLOGY AND MGMT,2025,1,,"2022,2023,2024,2025"
MAMN,M.A.M COLLEGE OF PHARMACY,2025,1,,"2022,2024,2025"
MAMW,M A M WOMEN'S ENGINEERING COLLEGE,2025,1,,"2024,2025"
MBUTPU,MOHAN BABU UNIVERSITY,2025,1,,"2024,2025"
MBUTPU1,MOHAN BABU UNIVERSITY,2023,1,,"2022,2023"
MBUTPU2,MOHAN BABU UNIVERSITY,2023,1,,"2022,2023"
MCPM,MAHATHI COLLEGE OF PHARMACY,2022,1,,2022
MHRJ,MAHARAJAHS COLLEGE PHARMACY,2024,1,,"2022,2023,2024"
MICT,DVR AND DR.HS MIC COLLEGE OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
MIET,MANDAVA INSTITUTE OF ENGG AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
MITS,MADANAPALLY INSTITUTE OF TECHNOLOGY AND SCI,2024,1,,"2022,2023,2024"
MJRT,MJR COLLEGE OF ENGG AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
MLEW,MALINENI LAKSHMAIAH WOMENS ENGG. COLLEGE,2025,1,,"2022,2023,2024,2025"
MPLG,SRI MITTAPALLI COLLEGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
MPLW,SRI MITTAPALLI INST OF TECHNOLOGY FOR WOMEN,2023,1,,"2022,2023"
MRCL,MIRACLE EDNL SOC GROUP OF INSTNS,2025,1,,"2022,2023,2024,2025"
MSEW,MALINENI SUSEELAMMA WOMENS ENGG COLLEGE,2025,1,,"2022,2023,2024,2025"
MTIE,MOTHER THERESA INST OF ENGG AND TECH,2025,1,,"2022,2023,2024,2025"
MVRG,M V G R COLLEGE OF ENGINEERNG,2025,1,,"2022,2023,2024,2025"
MVRS,M.V.R.COLL OF ENGINEERING AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
NARN,NARAYANA ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
NBKR,NBKR INSTITUTE OF SCI. AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
NEWS,NEWTONS INST OF SCI AND TECH,2025,1,,"2022,2023,2024,2025"
NEWT,NEWTON INSTITUTE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
NICP,NIRMALA COLLEGE OF PHARMACY,2024,1,,2024
NIST,NARAYANADRI INST OF SCI TECHNOLOGY,2023,1,,"2022,2023"
NITN,NARSARAOPET INSTITUTE OF TECHNOLOGY,2022,1,,2022
NOVA,NOVA COLLEGE OF ENGG. AND TECHNOLOGY,2023,1,,"2022,2023"
NRIA,NRI INSTITUTE OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
NRIP,N R I COLLEGE OF PHARMACY,2023,1,,2023
NRIT,NRI INSTT OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
NRML,NIRMALA COLL. OF PHARM,2025,1,,"2022,2023,2024,2025"
NRNG,NARAYANA ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
NRNP,NARAYANA PHARMACY COLLEGE,2023,1,,"2022,2023"
NSPE,NARSARAOPETA ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
NSPP,NARSARAOPET INSTT. OF PHARM.SCI.,2023,1,,"2022,2023"
NSRE,N S RAJU INSTITUTE OF ENGG AND TECHNOLOGY,2025,1,,"2023,2024,2025"
NSRT,NADIMPALLI SATYANARAYANA RAJU INSTITUTE OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
NVRT,N.V.R.COLLEGE OF ENGG TECHNOLOGY,2024,1,,"2022,2023,2024"
OTRISF,JNTUA-OIL TECHNOLOGICAL RESEARCH INSTITUTE-SELF FINANCE,2022,1,,2022
PACE,PACE INSTITUTE OF TECHNOLOGY AND SCIENCES,2025,1,,"2022,2023,2024,2025"
PCEK,G.PULLAIAH COLL. OF ENGG. AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
PDIT,PRIYADARSHINI INST OF TECHNOLOGY,2022,1,,2022
PIIT,PRIYADARSHINI INST OF TECH AND MGMT,2025,1,,"2022,2023,2024,2025"
PINN,PRIYADARSHINI INST OF TECHNOLOGY,2024,1,,"2023,2024"
PIPR,PRIYADARSHINI INST OF PHARMACEUTICAL EDUCATION AND RESEARCH,2023,1,,2023
PITT,PRIYADARSHINI INST. OF TECHNOLOGY AND SCIENCES,2025,1,,"2022,2023,2024,2025"
PITW,PRIYADARSHINI INST. OF TECH AND SCIENCES FOR WOMEN,2025,1,,"2022,2023,2024,2025"
PKSK,PRAKASAM ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
PPDV,PALADUGU PARVATHI DEVI COLLEGE OF ENGG AND TECH,2025,1,,"2022,2023,2024,2025"
PPSV,PRASAD V POTLURI SIDDHARTHA INSTT OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
PRAG,PRAGATI ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
PREC,DR PAUL RAJS ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
PRIK,PRIYADARSHINI COLL OF ENGG. AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
PRMP,P. RAMIREDDY MEMORIAL COLLEGE OF PHARMACY,2022,1,,2022
PSCV,POTTI SRIRAMULU COLLEGE OF ENGG AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
PVKK,P.V.K.K. INSTITUTE OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
PVKKOC,P.V.K.K. INSTITUTE OF TECHNOLOGY- OFF CAMPUS,2025,2,P.V.K.K. INSTITUTE OF TECHNOLOGY-OFF CAMPUS,"2024,2025"
PYDE,PYDAH COLL OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
PYDP,PYDAH COLLEGE OF PHARMACY,2025,1,,"2023,2025"
QISE,QIS COLLEGE OF ENGG. AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
QISP,QIS COLLEGE OF PHARMACY,2025,1,,"2022,2023,2024,2025"
RACE,RAMACHANDRA COLLEGE OF ENGINEERING,2025,1,,2025
RAGU,RAGHU ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
RAOS,RAOS COLLEGE OF PHARMACY,2022,1,,2022
RAVW,RAVINDRA COLLEGE OF ENGG FOR WOMEN,2025,1,,"2022,2023,2024,2025"
RCEE,RAMACHANDRA COLLEGE OF ENGINEERING,2024,1,,"2022,2023,2024"
RCPV,RAGHU COLLEGE OF PHARMACY,2023,1,,2023
RGAN,RISE KRISHNA SAI GANDHI GROUP OF INSTITUTIONS,2024,1,,"2022,2023,2024"
RGCP,RAJIV GANDHI COLLEGE OF PHARMACY,2023,1,,2023
RGIT,RAJIV GANDHI MEMORIAL COLLEGE OF ENGG. AND TECH.,2025,1,,"2022,2023,2024,2025"
RIET,RAJAMAHENDRI INST OF ENGG AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
RIPA,RAGHAVENDRA INST. OF PHARM. EDUCATION,2023,1,,2023
RITV,RAGHU INST. OF TECHNOLOGY,2022,1,,2022
RKCE,R.K.COLLEGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
RPRA,RISE KRISHNA SAI PRAKASAM GROUP OF INSTITUTIONS,2025,1,,"2022,2023,2024,2025"
RSRN,RAMIREDDY SUBBA RAMIREDDY ENGG COLLEGE,2025,1,,"2022,2023,2024,2025"
RUCESF,RAYALASEEMA UNIVERSITY COLLEGE OF ENGG-SELF FINANCE,2025,1,,"2022,2023,2024,2025"
RVIT,R V INSTITUTE OF TECHNOLOGY,2025,1,,"2023,2024,2025"
RVJC,R V R AND J C COLLEGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
SANK,AUDHISANKARA COLLEGE OF ENGG. AND TECHNOLOGY,2024,1,,"2022,2023,2024"
SASI,SASI INSTITUTE OF TECHNOLOGY AND ENGINEERING,2025,1,,"2022,2023,2024,2025"
SATS,SRI ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCE,2025,1,,"2022,2023,2024,2025"
SAVE,SANKETHIKA VIDYA PARISHAD ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
SAVEOC,SANKETHIKA VIDYA PARISHAD ENGINEERING COLLEGE-OFF CAMPUS,2024,1,,2024
SCON,SAASTRA COLLEGE OF PHARM.EDN AND RES.,2022,1,,2022
SCPB,SRI VISHNU COLLEGE OF PHARMACY,2025,1,,"2022,2023,2024,2025"
SDTN,SIDDHARTH INSTITUTE OF ENGG. AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
SEAT,SIDDARTHA EDNL ACADEMY GRP OF INSTNS,2025,1,,"2022,2023,2024,2025"
SESP,SESHACHALA COLLEGE OF PHARMACY,2025,1,,"2022,2025"
SGEC,SAI GANAPATHI ENGINEERING COLLEGE,2023,1,,"2022,2023"
SGIP,DR. SAMUEL GEORGE INSTITUTE OF PHARM. SCI.S,2022,1,,2022
SGIT,DR SAMUEL GEORGE INSTITUTE OF ENGG. AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
SGVP,SATYA INST OF TECHNOLOGY AND MGMT,2025,1,,"2022,2023,2024,2025"
SHCP,SEVEN HILLS COLLEGE OF PHARMACY,2025,1,,2025
SHEC,SRI HARSHINI COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,2025,1,,2025
SIEN,SRI SARATHI INSTITUTE OF ENGG. AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
SIMH,SIMHADRI EDNL SOC GRP OF INSTNS,2025,1,,"2022,2023,2024,2025"
SIPN,SIDDHARTHA INST OF PHARM SCI,2023,1,,2023
SIPS,NALANDA INST OF PHARM.SCI.,2023,1,,2023
SIST,SIDDHARTHA INST OF SCI AND TECHNOLOGY,2023,1,,"2022,2023"
SKUASF,SRI KRISHNADEVARAYA UNIV.COLL.OF ENG.- SELF FINANCE,2025,1,,"2022,2023,2024,2025"
SKUPSF,SKU COLL OF PHARMCEUTICAL SCIENCE- SELF FINANCE,2025,2,SKU COLL OF PHARMCEUTICAL SCIENCE-SELF FINANCE,"2023,2025"
SLVP,SRI LAKSHMI VENKATESWARA INST OF PHARM SCI,2023,1,,2023
SPCN,SRI SIDDHAARTHA PHARM. COLLEGE,2024,1,,2024
SPMS,INST. OF PHARM. TECH. S P MAHILA VISWA VIDYALAYAM,2025,1,,2025
SPMUSF,SCHOOL OF ENGG. TECH. SPMVV - SELF FINANCE,2025,1,,"2022,2023,2024,2025"
SRCN,SANTHIRAM COLLEGE OF PHARMACY,2025,1,,"2023,2025"
SREC,SANTHIRAM ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
SRET,SREE RAMA ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
SRIN,SRINIVASA INST OF ENGG AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
SRIP,SAI RAJESWARI INSTITUTE OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
SRIT,SRINIVASA RAMANUJAN INST OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
SRKI,S R K INST. OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
SRKR,S R K R ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
SRMUPU,S R M UNIVERSITY AP,2025,1,,"2022,2023,2024,2025"
SRPN,SASHIKANTH REDDY COLL OF PHARM,2025,1,,2025
SRPV,SRINIVASARAO COLLEGE OF PHARMACY,2023,1,,2023
SRSR,SRI SAI INSTITUTE OF TECHNOLOGY. AND SCI.,2025,1,,"2022,2023,2024,2025"
SRTS,SRINIVASA INST OF TECHNOLOGY AND SCIENCE,2025,2,SRINIVASA INST OF TECHNOLOGY SCIENCE,"2022,2023,2024,2025"
SSCC,SRINIVASA INSTITUTE OF TECHNOLOGY AND MANG STUDIES,2025,1,,"2022,2023,2024,2025"
SSCE,SRI SIVANI COLLEGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
SSCP,SRI SIVANI COLLEGE OF PHARMACY,2023,1,,"2022,2023"
SSSE,SANSKRITHI SCHOOL OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
STEN,SAI TIRUMALA N V R ENGINEERING COLLEGE,2023,1,,"2022,2023"
STMV,SANKETHIKA INST OF TECHNOLOGY MANAGEMENT,2022,1,,2022
SUNL,SRI SUNFLOWER COLLEGE OF ENGG AND TECHNOLOGY,2024,1,,"2023,2024"
SVCE,SRI VENKATESWARA COLL OF ENGINEERING - MAIN CAMPUS,2025,2,SRI VENKATESWARA COLL OF ENGINEERING,"2022,2023,2024,2025"
SVCEOC,SRI VENKATESWARA COLLEGE OF ENGINEERING-OFF CAMPUS,2025,1,,2025
